#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,32.388175,2.825600,0.000000,21.373648,0.024889,0.051222,54.756843
0.000000,0.000000,28.676129,2.899859,0.000000,28.502851,0.031056,0.066463,54.799103
0.000000,0.000000,44.691743,5.935719,0.000000,125.767857,0.038574,0.074834,81.558541
0.000000,0.000000,37.760688,2.656544,0.000000,25.587306,0.028370,0.062278,168.883930
0.000000,0.000000,33.479530,2.726396,0.000000,23.791487,0.027648,0.061315,63.973959
0.000000,0.000000,40.332195,3.719046,0.000000,24.736841,0.061092,0.067926,70.890143
0.000000,0.000000,40.438769,3.709769,0.000000,20.840201,0.026889,0.049907,71.375681
0.000000,0.000000,38.000227,2.636340,0.000000,15.690077,0.024648,0.052204,63.783477
0.000000,0.000000,31.046579,2.628266,0.000000,23.970932,0.027186,0.077260,51.391983
0.000000,0.000000,41.015308,3.493416,0.000000,26.338141,0.029556,0.059593,70.752551
0.000000,0.000000,41.912366,3.466175,0.000000,18.815548,0.022630,0.050815,73.846836
0.000000,0.000000,40.939308,2.311487,0.000000,29.225296,0.028426,0.071612,64.027126
0.000000,0.000000,31.709988,3.569657,0.000000,17.960694,0.024704,0.051426,68.468249
0.000000,0.000000,28.973796,2.591840,0.000000,21.360221,0.027944,0.058778,51.710243
0.000000,0.000000,27.996071,2.698766,0.000000,26.805216,0.029111,0.078074,54.138990
0.000000,0.000000,46.992416,3.483731,0.000000,17.669582,0.024629,0.051759,79.741222
0.000000,0.000000,30.319206,2.730285,0.000000,21.264554,0.028204,0.081945,52.717653
0.000000,0.000000,31.412005,2.884414,0.000000,22.543576,0.074593,0.063852,57.726258
0.000000,0.000000,42.045681,3.357360,0.000000,20.703941,0.027666,0.037796,70.819606
0.000000,0.000000,0.000000,0.000000,0.000000,28.228017,10.328119,0.038018,56.992571
0.000000,0.000000,32.790176,2.300969,0.000000,7.801742,8.912337,0.032852,36.344018
0.000000,0.000000,45.309633,3.682621,0.000000,8.219836,8.422577,0.030185,90.344211
0.000000,0.000000,38.974339,3.151008,0.000000,5.558329,6.131942,0.062296,61.092303
0.000000,0.000000,38.705265,3.339675,0.000000,8.987097,9.046041,0.051648,60.087615
0.000000,0.000000,34.101679,2.270709,0.000000,8.461929,11.033306,0.037037,49.208606
0.000000,0.000000,40.117731,3.763602,0.000000,9.763118,9.211801,0.034037,64.046830
0.000000,0.000000,40.454344,3.522175,0.000000,7.830557,8.070131,0.054260,65.495444
0.000000,0.000000,47.650972,5.369921,0.000000,7.154351,6.113608,0.032741,73.653150
0.000000,0.000000,37.557244,3.176582,0.000000,4.782808,6.604850,0.466816,57.877277
0.000000,0.000000,35.362794,4.511048,0.000000,4.795197,5.232698,0.548242,54.748268
0.000000,0.000000,32.516361,2.363691,0.000000,9.230302,7.884687,0.053352,47.470176
0.000000,0.000000,27.316866,2.339506,0.000000,9.644135,8.145761,0.484835,41.339791
0.000000,0.000000,34.893163,3.076841,0.000000,6.764961,6.930111,0.048352,57.094126
0.000000,0.000000,38.647543,3.407083,0.000000,11.723382,9.416431,0.053593,61.539786
0.000000,0.000000,41.366883,5.427811,0.000000,8.855967,9.937488,0.404371,62.374696
0.000000,0.000000,36.659130,3.510527,0.000000,5.463588,5.464681,0.345593,63.188216
